t,mag
564.686,1.011
564.706,1.006
564.726,1.006
564.746,1.011
564.766,1.022
564.786,0.977
564.806,1.033
564.826,0.990
564.846,1.006
564.866,1.008
564.886,0.990
564.906,1.017
564.926,0.990
564.946,1.004
564.966,1.012
564.986,1.003
565.006,1.017
565.026,0.981
565.046,0.872
565.066,1.016
565.086,0.969
565.106,1.032
565.126,1.000
565.146,0.993
565.166,1.004
565.186,1.027
565.206,0.972
565.226,1.020
565.246,0.987
565.266,1.016
565.286,1.000
565.306,1.011
565.326,1.000
565.346,1.009
565.366,1.005
565.386,0.995
565.406,1.001
565.426,1.005
565.446,1.003
565.466,1.005
565.486,1.009
565.506,1.003
565.526,1.001
565.546,1.002
565.566,1.002
565.586,0.998
565.606,1.006
565.626,1.002
565.646,1.004
565.666,0.998
565.686,1.003
565.706,1.007
565.726,1.002
565.746,1.004
565.766,1.001
565.786,1.003
565.806,1.002
565.826,1.005
565.846,1.003
565.866,1.004
565.886,1.004
565.906,1.003
565.926,0.999
565.946,1.004
565.966,1.002
565.986,1.004
566.006,1.001
566.026,1.002
566.046,1.002
566.066,1.002
566.086,1.004
566.106,1.003
566.126,1.006
566.146,1.002
566.166,1.005
566.186,1.000
566.206,1.002
566.226,0.999
566.246,1.004
566.266,1.004
566.286,1.006
566.306,1.004
566.326,1.002
566.346,1.003
566.366,1.002
566.386,1.003
566.406,1.002
566.426,1.002
566.446,1.001
566.466,1.002
566.486,1.001
566.506,1.003
566.526,1.004
566.546,1.004
566.566,1.005
566.586,0.993
566.606,1.188
566.626,0.917
566.646,1.034
566.666,0.973
566.686,1.004
566.706,1.021
566.726,1.003
566.746,0.992
566.766,1.023
566.786,0.987
566.806,1.023
566.826,0.988
566.846,1.017
566.866,1.007
566.886,1.012
566.906,0.983
566.926,1.010
566.946,0.995
566.966,0.973
566.986,1.020
567.006,1.000
567.026,1.018
567.046,1.018
567.066,0.977
567.086,1.022
567.106,0.978
567.126,1.011
567.146,1.018
567.166,1.001
567.186,1.020
567.206,0.985
567.226,1.005
567.246,0.993
567.266,0.996
567.286,1.028
567.306,0.988
567.326,1.013
567.346,1.012
567.366,0.990
567.386,0.997
567.406,1.013
567.426,1.008
567.446,0.857
567.466,1.019
567.486,0.995
567.506,0.978
567.526,0.997
567.546,0.993
567.566,0.999
567.586,1.015
567.606,0.994
567.626,1.011
567.646,0.996
567.666,1.001
567.686,1.007
567.706,0.999
567.726,1.016
567.746,0.998
567.766,1.008
567.786,0.997
567.806,1.005
567.826,1.000
567.846,1.004
567.866,1.005
567.886,1.005
567.906,1.005
567.926,1.002
567.946,1.002
567.966,1.004
567.986,1.001
568.006,1.011
568.026,1.004
568.046,1.010
568.066,1.000
568.086,0.998
568.106,1.003
568.126,1.009
568.146,1.005
568.166,1.007
568.186,1.001
568.206,1.005
568.226,0.997
568.246,1.006
568.266,1.000
568.286,1.005
568.306,1.004
568.326,1.003
568.346,1.003
568.366,1.002
568.386,1.002
568.406,1.004
568.426,1.004
568.446,1.004
568.466,1.004
568.486,1.002
568.506,1.002
568.526,1.001
568.546,1.004
568.566,1.005
568.586,1.002
568.606,1.003
568.626,1.004
568.646,1.003
568.666,1.002
568.686,1.004
568.706,1.003
568.726,1.004
568.746,1.000
568.766,1.004
568.786,1.002
568.806,1.002
568.826,1.005
568.846,1.001
568.866,1.005
568.886,1.001
568.906,1.002
568.926,1.002
568.946,1.004
568.966,1.001
568.986,1.003
569.006,1.003
569.026,1.006
569.046,1.000
569.066,1.003
569.086,1.003
569.106,1.004
569.126,1.004
569.146,1.002
569.166,1.003
569.186,1.002
569.206,1.005
569.226,1.004
569.246,1.006
569.266,1.001
569.286,1.006
569.306,1.003
569.326,1.006
569.346,1.004
569.366,1.002
569.386,1.006
569.406,1.002
569.426,1.006
569.446,1.002
569.466,1.005
569.486,1.001
569.506,1.004
569.526,1.001
569.546,1.206
569.566,0.925
569.586,1.039
569.606,1.012
569.626,0.970
569.646,0.992
569.666,1.021
569.686,0.974
569.706,1.038
569.726,0.995
569.746,1.012
569.766,1.010
569.786,0.970
569.806,1.033
569.826,0.982
569.846,1.019
569.866,1.016
569.886,0.983
569.906,1.015
569.926,0.981
569.946,1.007
569.966,0.990
569.986,0.992
570.006,1.028
570.026,0.986
570.046,1.019
570.066,1.008
570.086,0.985
570.106,1.001
570.126,1.010
570.146,0.888
570.166,1.028
570.186,1.000
570.206,0.996
570.226,0.986
570.246,1.005
570.266,0.990
570.286,1.007
570.306,0.989
570.326,1.006
570.346,0.997
570.366,0.998
570.386,1.004
570.406,1.003
570.426,1.013
570.446,1.000
570.466,1.006
570.486,1.004
570.506,1.001
570.526,1.002
570.546,1.003
570.566,1.007
570.586,1.006
570.606,1.002
570.626,1.004
570.646,0.999
570.666,1.003
570.686,1.003
570.706,1.011
570.726,1.004
570.746,1.005
570.766,1.001
570.786,1.003
570.806,1.000
570.826,1.005
570.846,1.005
570.866,1.004
570.886,1.004
570.906,1.004
570.926,0.999
570.946,1.000
570.966,1.003
570.986,1.003
571.006,1.000
571.026,1.004
571.046,1.003
571.066,1.003
571.086,1.008
571.106,1.003
571.126,1.005
571.146,1.001
571.166,1.002
571.186,0.998
571.206,1.004
571.226,1.002
571.246,1.005
571.266,1.000
571.286,1.004
571.306,1.000
571.326,1.002
571.346,1.005
571.366,1.003
571.386,1.003
571.406,1.004
571.426,1.004
571.446,1.000
571.466,1.004
571.486,1.001
571.506,1.003
571.526,1.003
571.546,1.007
571.566,0.998
571.586,1.002
571.606,1.001
571.626,1.004
571.646,1.004
571.666,1.004
571.686,1.003
571.706,1.002
571.726,1.004
571.746,1.002
571.766,1.005
571.786,1.002
571.806,1.008
571.826,1.001
571.846,1.004
571.866,1.002
571.886,1.002
571.906,1.002
571.926,1.005
571.946,1.003
571.966,1.001
571.986,1.004
572.006,1.003
572.026,1.005
572.046,1.002
572.066,1.007
572.086,1.002
572.106,1.003
572.126,0.999
572.146,1.004
572.166,1.002
572.186,1.005
572.206,1.003
572.226,1.004
572.246,1.003
572.266,1.001
572.286,1.003
572.306,1.002
572.326,1.004
572.346,1.003
572.366,1.005
572.386,1.002
572.406,1.003
572.426,1.000
572.446,1.001
572.466,1.004
572.486,1.003
572.506,1.004
572.526,1.002
572.546,1.003
572.566,1.003
572.586,1.005
572.606,1.001
572.626,1.005
572.646,1.000
572.666,1.003
572.686,1.002
572.706,1.006
572.726,1.001
572.746,1.005
572.766,1.003
572.786,1.003
572.806,1.004
572.826,1.002
572.846,1.002
572.866,1.003
572.886,1.003
572.906,1.003
572.926,1.002
572.946,1.002
572.966,1.004
572.986,1.001
573.006,1.002
573.026,1.003
573.046,1.001
573.066,1.003
573.086,1.004
573.106,1.004
573.126,1.000
573.146,1.003
573.166,1.003
573.186,1.004
573.206,1.006
573.226,0.997
573.246,1.005
573.266,1.008
573.286,0.999
573.306,1.001
573.326,1.002
573.346,0.990
573.366,0.997
573.386,1.002
573.406,1.011
573.426,1.000
573.446,1.005
573.466,1.004
573.486,1.006
573.506,1.002
573.526,1.003
573.546,0.997
573.566,1.004
573.586,1.004
573.606,1.002
573.626,1.002
573.646,1.003
573.666,1.002
573.686,1.005
573.706,1.004
573.726,1.002
573.746,1.002
573.766,1.003
573.786,1.003
573.806,1.002
573.826,1.003
573.846,1.002
573.866,1.003
573.886,1.000
573.906,1.002
573.926,1.003
573.946,1.003
573.966,1.003
573.986,1.002
574.006,1.001
574.026,1.001
574.046,1.004
574.066,1.002
574.086,1.001
574.106,1.003
574.126,1.003
574.146,1.002
574.166,1.003
574.186,1.003
574.206,1.004
574.226,1.004
574.246,1.003
574.266,1.004
574.286,1.003
574.306,1.003
574.326,1.002
